region,d_adjust1,d_adjust2,adjust_dates,initialization
UKH16,1.0609844825837356,0.9627695621550807,27.0,4.926865218605441
UKH17,1.2785841730673042,0.9714058592972762,26.0,4.3708461323652585
UKH21,1.3091523602697903,1.0326012542038736,23.0,7.3
UKH23,0.7412603759972912,0.9666314166532104,22.0,62.0
UKH24,1.1341559346169403,1.291572114673063,25.0,6.0
UKH31,1.3105252330745156,1.0062509149639771,22.0,5.0
UKH34,1.2321477017704965,0.9680285119958436,22.0,13.266111301530099
UKH35,1.5000027475467588,0.9988204473254052,20.0,8.31019461572804
UKH36,1.4421086231668658,0.9979481825718158,20.0,8.59633044203177
UKH37,1.4006710356715684,0.9995640935726076,20.0,9.82736364071005
UKI31,0.5731111774470652,0.7288151776718238,21.0,34.0
UKI32,0.3055604349775417,0.6074054881169043,17.0,75.0
UKI33,0.7576923702290316,0.711246094154184,22.0,85.0
UKI34,1.3735347217720562,0.7849906594205855,18.0,65.0
UKI41,1.108059162174191,0.6627249973770909,20.0,52.0
UKI42,0.7084136745191317,0.6164343019416224,20.0,25.0
UKI43,0.7878830070733038,0.7585556255304049,18.0,65.0
UKI44,1.0612351878137758,0.7408840153243939,19.0,104.0
UKI45,1.4310855591237663,0.7570765439840796,18.0,68.0
UKI51,1.2848869558232618,0.8403106717187423,19.0,48.0
UKI52,1.4775015973755936,0.7836891605238898,19.0,29.0
UKI53,1.7747127888380372,0.7460900643548212,18.0,28.0
UKI54,1.4453978424201024,0.7093310860095055,19.0,30.0
UKI62,1.7436603318262098,0.8168550490865099,18.0,40.0
UKI63,1.1098255546014628,0.7837199863543184,21.0,58.0
UKI72,1.537621154027465,0.8486210632885257,19.0,47.0
UKI73,1.322245143162002,0.9405666088659832,19.0,39.0
UKI74,1.262812815483407,0.8167581694481931,18.0,62.0
UKJ11,0.6440717350842975,0.8485649310190458,26.0,73.0
UKJ12,0.9637686446286083,0.6876617964438675,24.0,9.0
UKJ13,0.6933056635991892,1.0062866158056798,24.0,43.0
UKJ14,0.7941984144666666,1.0812611446647582,26.0,34.0
UKJ21,0.8604732147264654,0.7600018826762492,25.0,13.0
UKJ22,1.0742619358072258,0.8367202703797176,24.0,8.0
UKJ25,1.0388721177209985,0.8232768450376968,20.0,41.0392662035701
UKJ26,1.1811865669969184,0.8165366498983189,21.0,20.9607337964299
UKJ27,1.0635484744741157,0.8119879221909182,23.0,9.541326258717767
UKJ31,0.7146542581204066,0.6953966862149755,26.0,10.0
UKJ32,1.2024855538029031,1.0200882430535565,22.0,6.0
UKJ34,0.5978762371350068,1.1497059537059091,28.0,5.0
UKJ36,0.8042499463245381,0.9295783808442086,24.0,33.5523148885639
UKJ37,0.957390801830406,0.931433993639924,24.0,22.4373655018609
UKJ41,1.1290277434848228,0.9732453106450918,24.0,13.0
UKJ43,1.1983920750192436,1.2218793519316993,23.0,8.84033973324827
UKJ45,1.2394430114657498,1.2122298992991405,23.0,7.24548821563797
UKJ46,1.175817939993849,1.2175219520751035,23.0,8.91381305267492
UKK11,0.9625744002525659,0.7671465025736053,22.0,11.0
UKK12,0.830804725368619,1.053304484670038,26.0,48.5427000909348
UKK13,0.8342593880696241,0.6816407849981798,26.0,7.1856032070294
UKK14,1.0499524131608535,0.8274508842683675,27.0,5.0
UKK15,0.8475281949492315,0.8543626501677145,23.0,13.0
UKK21,0.8266307122732258,0.7426397170633721,27.0,9.0
UKK22,0.9083602977999707,0.7454118758131909,23.0,8.0
UKK23,0.5113687900532604,1.0957130346726378,29.0,7.2716967020357695
UKK30,0.8336424723119602,0.8083055966706543,25.0,11.0
UKK41,0.9215134789732992,0.8819352551136035,25.0,6.0
UKK42,0.7586182096986518,0.6986004296728097,26.0,9.0
UKK43,0.4750000000000001,0.7179278283390199,27.0,35.0
UKI61,1.6293072730756044,1.0673197742553369,18.0,33.0
UKD41,1.3967248979126676,1.0590018018525678,25.0,2.0
UKI71,1.345786683094768,0.7661349436830867,19.0,53.0
UKC14,1.4783210908777773,1.1002491306050144,25.0,3.0
UKC21,1.3832130407198573,0.9526679379049472,26.0,5.0
UKG32,1.9445932944754083,0.945436396777164,19.0,8.0
UKC23,1.5726185375861632,0.907115544200558,26.0,5.0
UKD11,1.3098982192876172,0.8689884951771358,21.0,14.944850557035696
UKH32,1.3759312854155161,0.926487282723042,22.0,5.0
UKJ44,1.1002517707339403,1.1852257320008253,25.0,13.000358998438802
UKE45,1.5001285676035376,1.1685106510341898,21.0,5.0
UKG21,0.9982318978480023,1.131828541534283,24.0,3.5
UKJ28,0.8524061022864953,0.7985492764575842,25.0,8.45867374128224
UKI75,1.2151222070548608,0.7969662856344569,18.0,36.0
UKD44,1.4247586426133292,1.0151733617691188,24.0,3.58721770450041
UKJ35,0.9222272687477264,0.9316171151117492,24.0,28.0103196095753
UKH25,1.2904838250912551,1.0714790653764057,21.0,11.0
